Publicationobjectfromdate,Artcleversionheadline1,Artcleversioningressplain,Artcleversiontextplain,Channelobjectidf
40239.4165162037,Arctic Paper increases net profit by163 percent,"March 2 2010  Arctic Paper's operating profit rose by more than 170 percent in 2009, compared to 2008. Net profit increased by 163 percent.","Arctic Paper, the second-largest European producer of high-bulk book paper and one of Europe's leading producers of graphic paper, achieved excellent financial results through four quarters of 2009. The Group earned sales revenues of nearly 1.8 billion Zlotys, up more than 42 percent from the previous year. Operating profit rose by more than 170 percent, to 179.3 million Zlotys. Net profit was nearly 132.4 million Zlotys, up more than 163 percent from 2008.The operating margin increased to 9.9 percent, from 5.2 percent in 2008, and the net margin increased to 7.3 percent, from nearly four percent in 2008.One of the reasons for Arctic Paper's dynamic sales growth was consolidation of the results of the paper mill in Mochenwangen, Germany, acquired in December 2008, whose revenues were not reflected in the results for the first three quarters of 2008. Growth was also due to good sales results for specific paper mills and favourable changes in exchange rates, particularly Euro-Zloty and Euro-Krona.Sales volume grew significantly in 2009, at 573,000 metric tons, compared to 455,000 tons in 2008 - an increase of 118,000 tons or 25.8 percent.“We are pleased with the excellent results of Arctic Paper,” said Michal Jarczynski, CEO of Arctic Paper SA. “We are also happy that we have already been able to fulfil our promises made to the investors during the public offering. We have paid down a third of the debt and acquired the Grycksbo paper mill, which fits in perfectly with our structure both in terms of the product range and the sales network. Thanks to the acquisition our production capacity will grow, to reach 800,000 metric tons per year. The effects of this acquisition will be visible in the consolidated results from 1 March 2010.”",Engelska nyheter
40240.7017476852,Norske Skog declares force majeure at Chilean mill,"March 3 2010  Norske Skog gives notice of force majeure at Bio Bio mill in Chile, after the earthquake on February 27.","As Papernet reported on March 1, all production at Norske Skog Bio Bio mill in Concepción, Chile has stopped after the massive earthquake that registered 8.8 on the Richter scale. Based on the preliminary reports on damage to the mill’s site and equipment it will take some time to restart production at the mill. Detailed reports on the condition of the mill are currently not available, according to a press statement by Norske Skog.Norske Skog is taking all the steps required to try to restart the operations at Bio Bio mill as soon as possible, also taking into account full safety of the 240 employees at the mill.As Norske Skog Bio Bio since the massive earthquake on 27 February 2010 is unable to perform any of its obligations due to an impediment beyond its control, Norske Skog Bio Bio is since 27 February and until further notice in a situation of force majeure. As a result of the force majeure Norske Skog Bio Bio is not liable to perform any of its contractual obligations, Norske Skog writes in a press release March 3.",Engelska nyheter
40241.4027199074,RFID helps Sonoco-Alcore serve paper core customers,"March 4 2010  Sonoco-Alcore, a wholly owned subsidiary of Sonoco with 30 tube and core plants and six paper mills in Europe, is using UPM Raflatac RFID tags in its fiber-based cores to help customers reduce costs through advanced inventory tracking.","RFID technology allows Sonoco-Alcore to provide customers the ability to reduce costs associated with lost inventory and manual labour many companies currently use for inventory tracking. By embedding RFID tags in roll cores, rolls can be followed through the supply chain process with real-time tracking and location information.“This technology is a value-add to our products that can provide cost savings to our customers,” says Eddie Smith, Vice President, Sonoco Europe.",Engelska nyheter
40241.4195949074,Finnish mills affected by stevedores' strike,March 4 2010  Paper mills in Finland are affected by the stevedores’ strike. UPM  temporary closed its magazine paper mill in Rauma early Thursday morning. Stora Enso is also expected to shut down mills.,"The strike in the ports in Finland followed immediately after the end of a strike that halted the country’s road transport system. The stevedores’ strike is estimated to cost the Finnish forest industry approximately 30 million Euros per day.The Finnish paper producers are assumed to temporary shut down mills as a direct effect of the strike. The first mill to be shut down was UPM’s magazine paper mill in Rauma. Sappi followed by shutting down its Kirkniemi mill in Lohja. Stora Enso also expects to begin temporarily shutting down its Finnish mills in the near future.“The impact of the strike will be wide and indefinite. The strike will severely tarnish the reputation of the Finnish forest products industry and its whole value chain,” says Juha Vanhainen, Stora Enso Country Manager in Finland.",Engelska nyheter
40241.4258101852,Metso to supply containerboard line to China,"March 4 2010  Metso will supply a containerboard production line to the Chinese Zhejiang Ji'An Paper's mill in Jiaxing, Zhejiang province, China.","The start-up of the production line is scheduled for the second half of 2011. The value of the order will not be disclosed. The value of these types of production lines ranges from 80 to 100 million Euros depending on the scope of delivery.Metso’s delivery will include a complete containerboard machine from the three-ply multi-Fourdrinier forming section equipped with a ValFormer top forming unit to the reel. The fully automated ValReel Pro reel features one-level reeling technology. The Metso automation package will comprise process, machine and quality controls.The 7.25-meters wide PM3 will be the fastest coated board machine in the world at the design speed of 1,200 meters per minute. The daily production capacity will be approximately 1,900 tons of coated white top testliner, out of bleached kraft pulp, deinked pulp, mixed waste and OCC (old corrugated containers).Zhejiang Ji'An Paper Packet Company is a subsidiary of Shanghai Taison Pulp & Paper Group. Zhejiang Ji'An currently produces containerboard on two Metso-supplied machines. The company’s annual production capacity is around 750,000 tons.",Engelska nyheter
40241.5653819444,World speed record by SCA,"March 4 2010  SCA Neuss mill’s PM2 twin-wire tissue machine has achieved a 24-hour speed record with a speed of 2,200 meters per minute.","According to a press release from Albany International, which supplies the machine clothing for SCA Neuss PM2, the new world speed record was achieved on 4 February.Neuss PM2 was installed in 1972 and rebuilt several times in order to increase machine speed and improve paper quality. It has a working width of 5.3 meters and produces among other tissue products SCA’s well-known brand Tempo.",Engelska nyheter
40242.3924189815,Temporary restart of Plattling PM10,"March 5 2010  Myllykoski will restart its PM10  LWC machine in Plattling, Germany, in the end of March. The background is, according to Myllykoski, ""technology and product reasons.""","The temporary restart of Plattling's PM10 is scheduled for the end of March. At the same time Myllykoski will continue to strictly manage its LWC capacity and take necessary curtailments at other mills when needed.These actions are part of the consistent capacity management and support Myllykoski’s focus on profitability, according to a press release. Simultaneously the actions aim at meeting the demands of Myllykoski's customers.",Engelska nyheter
40242.4192708333,Paper industry improves material efficiency,"March 5 2010  The material efficiency of paper manufacturing is being improved continuously, and the amount of produced waste is reducing in tandem with this development.","The by-products of paper and wood products manufacture are already being utilized in many different ways. A good example of this is provided by wood-plastic composites, which are manufactured from paper and plastics that are left unutilized in the value chain of self-adhesive laminate production.Wood-plastic composites will be on display at this year’s World Expo 2010 in Shanghai, where the Finnish pavilion will be clad with modern shingles made out of a wood-plastic composite material.The Nordic pulp and paper industry has managed to reduce its waste output through substantial increases in the efficiency of materials utilization. The amount of landfill waste has reduced to a third over the last 15 years, while production of pulp and paper has increased 50 percent in the same time.One-third of the landfill waste produced by the forest industry is made up of ash and one-third of green liquor sludge. Utilization of both these waste fractions is challenging, even though the forest industry has made significant investments into developing opportunities for their use. The most effective way with which to reduce landfill placement of forest industry waste is the improvement of waste utilization opportunities – also through legislative means such as developing regulations on earthwork and fertilization, according to the Finnish Forest Industries Federation.?",Engelska nyheter
40242.4951273148,Södra builds wind turbines at Mönsterås mill,March 5 2010  Södra has purchased six Enercon E-82 wind turbines through its subsidiary Södra Vind AB. The turbines are to be constructed at Södra Cell’s Mönsterås pulp mill.,"Preparations have been underway since autumn 2009 with startup of the six new turbines scheduled for November this year.“This is the first wind power project that Södra is implementing. Naturally, Mönsterås municipality is also involved in the project. During the licence process, a project like this always has to follow set rules and is a balancing act between concern for local interests and industrial value creation,” said Gustav Tibblin, President of Södra Vind.In addition to the delivery of six wind turbines to Södra Cell Mönsterås, Södra and Enercon have contracted an option on a further 50 wind turbines.The project at Mönsterås mill is the first stage of a major wind power investment around the mill in conjunction with Norwegian energy company Statkraft. Licence approval has been granted to construct a further four wind turbines just north of the mill. Preliminary planning is fully underway.A third stage of the wind power development in Mönsterås is also planned.",Engelska nyheter
40245.3670023148,Eka Chemicals to increase prices for paper chemicals in Europe,"March 8 2010  Eka Chemicals will increase prices across its entire European Paper Chemicals product range, with immediate effect as of March 1.","The recent increases in the cost of basic raw materials, energy and transportation have impacted Eka Chemicals’ cost structure dramatically.  Continual efforts to streamline the operations and optimize cost structure are being significantly outpaced by these increases.  Eka Chemicals will therefore increase prices across its entire European Paper Chemicals product range, with immediate effect as of March 1, 2010, in order to begin to offset these higher costs.“This price adjustment is necessary to maintain a long term sustainable business model”, says Jay Hunsberger, European Marketing Director at Eka Chemicals.",Engelska nyheter
40245.3924421296,Further increases in M-real’s uncoated fine paper prices,March 8 2010  M-real recently announced price increases for uncoated paper of eight percent as of 1 March. A further increase of 15 percent will become effective as of 15 April.,"The continued upward pricing cycle for pulp has recently intensified due to the earthquake in Chile, which has led some pulp suppliers to suspend deliveries under force majeure. This is compounded by strikes at some transportation companies and ports in Finland together with severe weather conditions in Scandinavia. This has resulted in an extraordinary situation concerning both the availability and subsequent costs of this key raw material, M-real writes in a press release, March 5.M-real has announced price increases for all uncoated paper products in reels, cut sizes and folio sheets across all European business by eight percent as of 1 March.In addition, a further increase in paper prices of 15 percent will become effective as of 15 April 2010, to be applied to all uncoated paper products in reels, large formats and cut sizes.",Engelska nyheter
40245.5684953704,Södra raises soft pulpwood price,March 8 2010  The Södra Board has decided to raise the list price of soft pulpwood by 30 Kronor per cubic meter fub (solid volume excluding bark) from 1 March. The new price will be 315 Kronor per m3fub.,"“The pulp market continues to show strong demand, and our mills require more wood,” said Gunilla Saltin, President of Södra’s pulp business area, Södra Cell.“Demand for forest raw materials remains strong. By increasing the price of soft pulpwood we wish to stimulate greater thinning activity. Our forests are in major need of thinning after the storm processing. Even if driving conditions vary just now, we want to challenge forest owners to make an all-out effort and take advantage of the strong pulp market,” said Urban Eriksson, Södra’s Director of forestry.Södra increased the price of standard spruce and pine saw logs by 75 and 25 Kronor per m3fub respectively from 1 February.",Engelska nyheter
40246.4109722222,More Finnish mills closed due to stevedore strike,"March 9 2010  The stevedore strike in Finland forces several paper mills to halt production. The forest industry will lose out on 30 million Euros in export revenues on each day the strike continues, according to the Forest Industries Federation.","UPM was forced to close its Rauma paper mill on 4 March. All of the mill's four magazine paper machines are closed. UPM warned that the strike would close UPM's Finnish paper mills within a week. Stora Enso expects to begin temporarily shutting down its Finnish mills in the near future.On March 5 UPM stopped three out of seven paper machines in the Jämsänkoski area. The paper production at UPM Kaukas mill was halted on March 7, and UPM has announced that it will close down PM7 at Tervasaari mill on March 11.Sappi closed its fine paper mill in Kirkniemi on March 4, and Savon Sellu stopped its fluting plant in Kuopio on March 8. today, March 9, M-real has shut down PM3 at its Kyro mill. Other paper producers will halt production as well.""Production operations is transferred out of Finland due to the strike. The exports of the forest industry started to recover in the second half of 2009, but this strike will snuff out the incipient recovery. Corporate efforts to improve the competitiveness of Finnish production are likewise going to waste,""  said Timo Jaatinen, Director General of the Finnish Forest Industries Federation. The state conciliator continues arbitration between the parties - Transport Workers' Union and the Finnish Port Operators' Association - today, March 9th at 1.00 pm local time.",Engelska nyheter
40246.4165277778,SCA relocates to new head office in Stockholm,"March 9 2010  SCA headquarters will be relocated to the Waterfront Building, Stockholm’s new landmark.","The move of the SCA headquarters was carried out at the beginning of March and represents a cost-efficient solution. The Waterfront Building conforms to a range of requirements governing environmentally friendly workplaces of the future.SCA is vacating its premises at Stureplan, where the office has been spread out over a number of addresses. In efforts to identify new premises, needs-adapted and efficiently utilized premises combined with a distinct environmental profile have been the guiding principles.The new Waterfront Building is one of Sweden’s greenest buildings. Energy consumption is reduced by, for example, using water from Klara sjö (Klara Lake) to cool the property. In addition, water/ice is used to store energy. The complex’ double-glazed façade works as a solar collector and the Waterfront Building comfortably meets the requirements of the EU Green Building standard.“Our goal has been to create a cohesive and thus enhanced working environment, with simpler communication between various departments at head office. We have also assigned great importance to identifying an efficient environmental solution,” says Gordana Landén, Senior Vice President, Corporate Human Resources.",Engelska nyheter
40247.4353472222,Tieto divests pulp and paper operations in America,March 10 2010  Tieto divests its pulp and paper operations in North America to focus on the growth markets in China and Russia.,"Tieto has sold TietoEnator Majiq, a wholly-owned subsidiary of Tieto

USA, to Constellation Homebuilder Systems, which is a ssubsidiary of

Constellation Software Inc.""Pulp and paper industries are growing in countries like China and Russia. At Tieto we are refocusing our IT services on these growth markets. Europe, however, remains an important and strong market for us. This transaction will also rationalize our pulp and paper industry related solutions,"" said Anttoni Vesterinen, Senior Vice President, Tieto Industrial Manufacturing & Services.",Engelska nyheter
40247.5520601852,M-real books positive non-recurring item in first quarter,March 10 2010  M-real books a positive twelve million Euros IT related non-recurring item in the first quarter results.,"M-real reverses earlier made IT cost provisions and books a positive non-recurring item of twelve million Euros in its operating result for the first quarter of 2010. In segment reporting nine million Euros is included in ""other operations"" and three million in ""discontinued operations.""The reversal of the provisions relates to the new IT service contract with Tieto, which was announced in the beginning of December last year, as well as to the renewed IT-contract with IBM, which M-real signed today.As earlier announced, the annual cost savings resulting from changes in IT services are expected to amount to approximately 30 million Euros.",Engelska nyheter
40248.4402777778,ABB to supply QCS and DCS to Indonesian mill,"March 11 2010  The Indonesian paper manufacturer PT Fajar Surya Wisesa has awarded ABB the contract for the supply of surface sizing chemical preparation and feeding systems, Quality Control Systems (QCS), and Distributed Control Systems (DCS).","The ABB systems will be used for the new paper machine PM5, which will reach a capacity of 300,000 tons per year of corrugated medium.This order will be executed from two ABB Centers; The Surface Sizing Delivery System will be executed by ABB Chemical Delivery Center of Excellence in France, and the DCS and QCS from the ABB Pulp and Paper Regional Center in Singapore.The DCS supply is based on System 800xA technology and will be used in the Stock Prep and Paper Machine areas.  The QCS supply includes NP1200 and RNP1200 scanning frames and sensors including MD Supervisory Controls, Coordinating Controls, and CD Control.",Engelska nyheter
40248.5151388889,More mill closures as Finnish strike continues,"March 11 2010 Finland's ports remained shut for the seventh consecutive day Wednesday as talks aimed at ending the stevedores' strike, which has crippled the country's paper export, continued.","The stevedore strike in the country has stopped virtually all exports from the pulp and paper industry, and paper mills have already been shut down because they can not store the paper anywhere.Today, March 11, Stora Enso has closed PM6 at its mill in Oulo in northern Finland. Yesterday, Stora Enso closed Anjalankoski mill's PM2 and PM8 at its Imatra mill complex.UPM yesterday closed one paper machine at Kymi mill. UPM Tervasaari mill is still operating, however, in spite of previous estimations that the mill would be closed today.Further mill closures are expected, if the conflict continues.Pulp producer Metsä Botnia has alerted its customers that it has invoked force majeure over strike.The Transport Workers Union (AKT) and the Finnish Port Operators Association resumed talks under the mediation of National Conciliator Esa Lonka Tuesday, with talks continuing Wednesday. Mr Lonka continues arbitration between the parties this afternoon, March 11.No end-date has been announced for the strike, which observers see as a blow to recession-hit and export-reliant Finland's economy and reputation.A separate walk-out by cargo handlers, planned to start Thursday morning, was meanwhile avoided when the parties to the dispute accepted Lonka's reconciliation proposal Wednesday, AKT said, news agency AFP reports.",Engelska nyheter
40248.5311921296,"SCA wins ""Product of the year"" in the Benelux",March 11 2010  SCA’s Plenty Active Wipes have been chosen as Product of the Year 2010 in the Benelux.,"Although just introduced to the Dutch market in October 2009, SCA’s Plenty Active Wipes have already been chosen as Product of the Year 2010 (Product van het Jaar) in the category “detergents”.10,000 consumers in the Netherlands got the opportunity to rate different products in a survey conducted by Dedicated Research, based on criteria such as innovativeness, attractiveness, usability and quality. Plenty Active Wipe, world’s first household tissue with built-in cleaner, was especially noted as “being effective”, which resulted in high scores on innovation and attractiveness. A second very important product attribute is the satisfaction factor, where Plenty Active Wipe also received high scores.As a winner in its category the product has the permission to be labelled with the ”Product of the Year” logo during 2010.Zewa Aktiv-Wisch-Tuch is a SCA product for the German market working after the same principle.",Engelska nyheter
40248.5475578704,Two new converting lines at Metsä Tissue Småland mills,March 11 2010  Metsä Tissue will add a second product segment to its Småland mills in Sweden and installs two new converting lines.,"At Pauliström mill in southen Sweden, one of the two units in Metsä Tissue’s Småland mill complex, two new converting lines will be installed during the spring.The new converting lines are aimed at the production of paper-serviettes. Until now, Pauliström mill has been producing mainly toilet paper. Metsä Tissue’s only production unit for paper-serviettes has been one of its German mills.Metsä Tissue plans new employments at Pauliström. Depending on the demand for the mill’s paper-serviettes, around 15 persons can be needed. Two newly employed converting machine operators have been sent for training at Metsä Tissue in Germany.",Engelska nyheter
40249.4256481482,New Head of UPM Raflatac's RFID activities,March 12 2010  Marcus Vaenerberg has been appointed Senior Vice President of the UPM Raflatac RFID Business Area. He will take up his new position on April 1.,"Marcus Vaenerberg has worked as Vice President, Sales, for UPM Raflatac’s RFID business since 2005. The current holder of the position as Head of the RFID Business Area, Christer Härkönen, is leaving UPM to work for a company outside the RFID industry.“Many companies worldwide now see RFID as an easily adoptable technology that releases costly resources from inessential work for more productive tasks,” says Marcus Vaenerberg.",Engelska nyheter
40249.4278935185,Södra announces price increase for pulp,March 12 2010  Södra announces a 40 Dollar price increase for softwood pulp.,"Södra is raising the price of softwood pulp by 40 Dollars per ton to 930 Dollars per ton. The price increase is valid from 1 April. ""The pulp market remains very solid with a strong market balance"", said Ulf Edman, President of Södra Cell International.",Engelska nyheter
40249.4324537037,Metso to supply process automation to Aylesford,"March 12 2010  Aylesford Newsprint Ltd in Aylesford, Kent, England, has awarded a contract to Metso for the supply and commissioning of a new process automation system for installation on the mill's PM14 newsprint machine.","The scope of supply is for a metsoDNA distributed control system and includes hardware, applications software, project management and commissioning. The new system will replace an older technology system that was installed when the PM14 was originally built in 1995.Aylesford Newsprint recycles 500,000 tons per annum of used newspapers and magazines in the manufacture of Renaissance, which is a publishing quality newsprint used by many of the UK's and Europe’s regional and national newspaper publishers.Aylesford Newsprint is a joint venture company between SCA and Mondi.",Engelska nyheter
40249.4830324074,"4.4 million to collaboration project between Stora Enso, Albany and Vasasensor","March 12 2010  Swedish research and development funding organization Vinnova grants 4.4 million Kronor to a collaboration project between Stora Enso Nymölla mill, Albany International and Vasasensor.","Within the program “Environmental Innovations”, The Swedish Governmental Agency for Innovation Systems, Vinnova, funds research and development projects that contribute to increased growth and reduced environmental impact. Nearly 200 R&D projects applied for almost one billion Kronor in 2009. The project “Energy savings and reduced spillage in paper making” was one of the 30 projects which Vinnova chose to fund. Partners in the project are Stora Enso Nymölla, Albany International and Vasasensor.The objective of this cooperation is to combine information from a sensor system with experience of paper making to create new knowledge on how to streamline paper machines. It aims not only to improve energy efficiency in paper mills but also to increase the profitability for the paper makers.""It’s exciting that both industrial partners and Vinnova now choose to fund our next project. We have worked closely the past years, and this project is a natural next step, said Sofia Kocher, CEO of Vasasensor and project manager for the project.The project is a demonstration test and a pilot project in which new technology, developed by Vasasensor, will be verified in pilot scale and ultimately be verified in a full-size paper machine at Stora Enso Nymölla paper mill.Vasasensor’s basic technology was born at the Institute of micro and nanotechnology in Gothenburg, Imego, where researchers developed a method for reading a pressure sensitive film wirelessly without the use of conventional wireless technology. This made it possible to measure pressure in harsh environments where it was previously not possible. After patenting the technology, Vasasensor was founded in 2003 at Chalmers School of Entrepreneurship.",Engelska nyheter
40249.5893634259,M-real and IBM to sign new contract on IT services,March 12 2010  M-real and IBM will continue their cooperation in IT services by signing a new three-year contract for application management services.,"With the new agreement between the two companies, IBM delivers application development and maintenance services for selected M-real common and local applications. Service operations will utilize IBM’s strong knowledge of M-real’s core solutions.“We are pleased that the long-term cooperation between M-real and IBM continues in these value-added services,” M-real’s CEO, Mikko Helander, summarizes.Revised service requirements and new contract result in significant IT cost savings for M-real.",Engelska nyheter
40252.4470949074,Change in Metsä Finance management,"March 15 2010  Ville Jaakonsalo, Managing Director of Metsä Group Financial Services Oy will leave the Metsäliitto group and join another company on 1 May.","Ville Jaakonsalo, Managing Director of Metsä Group Financial Services Oy, which is responsible for Metsäliitto Group's financing, will join another company on 1 May 2010.Timo Korvenpää, a member of the Board of Directors of Metsä Finance, will manage the tasks of the managing director until a new managing director has been appointed.",Engelska nyheter
40252.520775463,Stora Enso closed three more paper machines in Finland,"March 15 2010  Stora Enso closed three more paper machines in Finland Monday morning, due to the stevedore strike in the country.","Due to the stevedore strike in the Finnish ports, which has stopped virtually all paper exports, Stora Enso closed PM1 and PM5 at Veitsiluoto mill in northern Finland and PM7 at Oulu mill on Monday, March 15. Last week Stora Enso closed Anjala mill's PM2, Oulu mill's PM6 and Varkaus mill's PM2, as well as the sheeting plant at Oulu mill.Other paper producers in Finland have also closed paper machines due to the strike in the Finnish ports, for example UPM, which closed one more paper machine Monday, Myllykoski, Sappi, Savon Sellu and M-real.",Engelska nyheter
40253.3784606482,Research award to paper-based battery,"March 16 2010  Albert Mihranyan, researcher at the Ångström Laboratory at Uppsala University, receives the Chester Carlson's Research Award 2009 for his development of a paper-based battery.","Albert Mihranyan has developed an environmentally friendly paper-based battery for portable equipment, which consists of mainly paper and salt – more specifically nano-structured paper and a leading polymer.There are many possible applications for the battery, such as clean energy storage systems, decomposable electronics as sensors and displays, and smart textiles with embedded sensors. The simplicity of the technique and the ability to manufacture on a large scale is predicted to open up unprecedented opportunities to integrate information technology in applications where it previously was not possible.Albert Mihranyan received the Chester Carlson's Research Award at a ceremony in Stockholm on March 11th. The Chester Carlson Award is awarded to young promising researchers in information science. The prize was established in 1985 to commemorate Swedish descendant Chester Carlson, who invented the copying machine and founded the company Xerox. The prize winners are selected by Xerox and the Royal Swedish Academy of Engineering Sciences, IVA.",Engelska nyheter
40253.4042939815,Södra's PulpLabs - Site of the Day,"March 16 2010  Södra’s PulpLabs website, which presents selected research projects in a public and creative manner, received the prestigious Site of the Day award on 14 March.","The award was made by inspirational internet portal FWA – Favourite Website Awards – which highlights an unusually creative and innovative website on a daily basis, and has done so since the site was founded in 2000.   Södra’s website www.sodrapulplabs.com was developed in conjunction with the Garbergs advertising agency in Sweden. Since its launch in April 2009 more than 10,000 visitors from 100 different countries have visited the website. Visitors can follow three challenges from the research stage via tests and collaboration through to finished product.",Engelska nyheter
40254.4400347222,Metso-supplied board line starts up in China,"March 17 2010  The Metso-supplied coated board production line delivered to Shandong Bohui Paper Industry in Zibo, Shandong province, China, has come on stream.","The new 6.25 meters wide BM2 produces close to 1,400 tons of folding boxboard per day.""We started small but are growing steadily. Our plan for the future is to become the largest coated board producer in China. BM2 is an important step towards our target,"" says Yang Yanzhi, Project Director of BM2, Shandong Bohui Paper.Metso's scope of supply comprised an all-online coated board machine from headbox to winders with related stock preparation and air systems, as well as a BCTMP plant. The complete automation systems package included quality controls, runnability and condition monitoring systems. BM2 was started up with Metso’s Tamfelt fabrics in the forming, press and dryer sections and Tamfelt BlackBelt shoe press belts.Shandong Bohui Paper employs approximately 5,000 persons. The annual paper and boardmaking capacity is around 1.25 million tons.",Engelska nyheter
40254.4599074074,SCA to increase containerboard prices,"March 17 2010   SCA Containerboard is announcing a price increase of 60 Euros per ton, valid as of April 1st.","The price increase, for SCA Containerboard's all recycled grades, in all European markets, is triggered by the enormous pressure of increasing input costs, particularly raw material.The price increase is also supported by increasingly good market conditions, according to a press release.",Engelska nyheter
40254.6690509259,M-real to increase carbonless paper prices,March 17 2010  M-real has decided to increase carbonless paper prices from April 19.,"Due to the significantly rising raw material costs during the last months, particularly pulp and logistic costs, M-real Zanders increases prices for carbonless papers. The increase, effective for deliveries from April 19, will be up to ten percent.",Engelska nyheter
40254.6911458333,Södra to increase hardwood pulp prices,March 17 2010  Södra Cell today announced a price increase of 50 Dollars per ton for hardwood pulp.,"The pulp market remains solid with strong market balance, and Södra Cell has announced a price increase for hardwood pulp. The new price is 840 Dollars per ton. The price is valid from April 1st and valid until further notice.Last week, Södra raised its softwood pulp price with 40 Dollars per ton.",Engelska nyheter
40254.7074421296,New CEO of Chemrec,"March 17 2010  Max Jönsson takes over as CEO of Chemrec AB, following the resignation of Rick LeBlanc earlier this week.","Max Jönsson is Chairman of Nykomb, one of the owners of Chemrec. He has a finance background and has previously held senior positions in the development, financing and operation of independent power production projects. He has founded and led the start-up of the HyHeat energy recovery technology company, whose technology won the Swedish Environmental Innovation of the year award in 2009.“The Board of Chemrec is confident that Max Jönsson will provide strong and effective leadership to Chemrec, as it moves to the next level,” says Bernard Bulkin of Vantage Point Venture Partners, Chairman of Chemrec.Rick LeBlanc led Chemrec through the past year, in which considerable progress was achieved towards the goal of commercialization of Chemrec’s technology for gasification of black liquor and production of motor fuels. With the company’s current big projects taking place in Europe, the pressure of extensive time away from his home and family in the US made it difficult for LeBlanc to continue as CEO.“We are sorry to lose Rick Le Blanc” continues Dr Bulkin, “but recognize the pressures on him.”Chemrec is a Swedish company providing technology for black liquor gasification, which, integrated in pulp mills, provides the opportunity to produce large quantities of renewable motor fuels or electricity from biomass.",Engelska nyheter
40255.4255324074,60 percent of Finland's paper industry sitting idle,"March 18 2010  The majority of Finland's paper manufacturing capacity has had to be shut down because of the stevedore strike. Stora Enso has closed more than half of its paper production in Finland, and UPM has stopped 15 of its 19 paper machines in the country.","“The latest announcements of production shut-downs mean that well over half of all paper production capacity in Finland has had to be put on hold. The situation is becoming increasingly difficult day after day, and the entire forest industry will soon be paralysed. There are now more forest industry employees out of work because of this industrial action than there are striking stevedores,” says Timo Jaatinen, Director General of the Finnish Forest Industries Federation.Jouko Karvinen, CEO of Stora Enso, said in an interview with Bloomberg News Wednesday that the stevedore strike can cause the Finnish paper industry irrevocable damage. The time to find a solution to the conflict is today, not in a month, according to Karvinen.Stora Enso stopped one more paper machine Wednesday, a board machine at Imatra mill.",Engelska nyheter
40255.4296412037,Norske Skog to reorganize European sales,"March 18 2010  Norske Skog is reorganizing its European sales organization. The main changes are a general simplification of the sales office structure, and an increased focus on front line sales.","In the new model, Norske Skog's European sales organization will consist of six regional sales hubs. The presence of the group's front line sales force and technical sales support in all markets will be assured through an increased use of home office solutions. In addition, customer critical services provided by the transaction center in Antwerp, will be transferred to the regional sales hubs.""The European publication paper market is in rapid change, and the need for continued strong local presence and high quality technical sales support is more important than ever. Through the reorganization of our European sales we achieve both a simplified and more cost efficient structure and an even tighter follow-up on Norske Skog's strong commitment to our customers"", says Senior Vice President Jan Clasen.",Engelska nyheter
40255.4577777778,Powerflute reports profit of 31.4 million in 2009,"March 18 2010  Powerflute, the packaging group with established positions in Nordic semi-chemical fluting and coated woodfree papers, reports a pre-tax profit of 31.4 million Eiuros in 2009.","Powerflute reports net sales of 253.7 million Euros (108.0) and an operating profit of 33.1 million Euros (-6.0), including gain of 33.0 million on acquisition of Scheufelen paper mill in Germany. Underlying EBITDA is 14.1 million Euros (-12.4).During 2009 the integration of Papierfabrik Scheufelen, a manufacturer of coated woodfree papers, was completed. Powerflute's wood procurement partnership with Myllykoski Corporation, Harvestia, assumed total responsibility for management of all wood deliveries to the Savon Sellu mill in Kuopio. During the second half of the year there was a strong improvement in demand for both graphic and packaging papers.""Despite the challenging economic conditions, 2009 was a successful year for the Group. We completed the acquisition and integration of Papierfabrik Scheufelen, which more than doubled our revenues and made a very significant contribution to the operating performance and cash generation of the Group. In our other business, Savon Sellu, we made good progress with a number of strategic initiatives intended to improve production efficiency and maintain our strong market position, although operating performance was significantly affected by the difficult trading environment,"" comments Dermot Smurfit, Chairman of Powerflute.On January 1 2010, Marco Casiraghi took up the position as CEO.",Engelska nyheter
40255.608900463,Metso to supply containerboard line to Saica UK,"March 18 2010  Metso will supply a lightweight containerboard production line to Saica's new plant at Partington Wharfside in Trafford, near Manchester in the UK. The total value of the order is approximately 60 million Euros.","The design speed of the 8.2 meters wide PM11 is 1,700 meters per minute. The annual production capacity will be approximately 400,000 tons of testliner and fluting, out of 100 percent recycled furnish.Saica is a leading producer of lightweight corrugated containerboard from recovered paper. The company currently employs over 8,000 people in Spain, France, Portugal, Italy, Ireland and the UK, where a new board mill is being built. Start-up of the new production line is scheduled to take place in the beginning of 2012.Metso’s delivery will include a complete OptiConcept paper machine, including an approach flow system, pulpers and air systems. A comprehensive Metso automation package will comprise process, machine and quality controls. A Metso process control system will also be supplied for the new combined heat and power station at the Partington mill.",Engelska nyheter
40256.6593518518,Botnia to increase pulp price,"March 19 2010  Metsä Botnia announced a pulp price increase Friday, immediately after the Finnish dock strike had come to an end.","Botnia will increase the pulp prices in Europe as of 1 April.The new prices are for northern bleached softwood kraft pulp, NBSK, 930 Dollars per ton and for beached birch sulphate pulp 840 Dollars per ton.",Engelska nyheter
